predicted,actual,diff,comment
4,2,2," Dovolím si předpokládat, že sdíleným cílem tzv. experimentálních či avantgardních filmů je nejen provokovat maloměšťáka jinak udržovaného v nekritické otupělosti a samolibosti kulturním mainstreamem, ale též vložit trochu invence a originality do doposud existujících kinematografických estetických vzorců na úrovni formy (č)i obsahu. Z této (doufám správné) hypotézy potom vyplývá, že dobrý experimentální film - tedy takový experimentální film, který dosáhl výše zmíněných cílů - je mimo jiné nutně divácky náročný. - Experimentální film ""Jan Hus: Mše za tři mrtvé muže"", který na úrovni mizanscény čerpá zejména z poetiky minimalistických avantgardních divadel, bohužel není pouze divácky náročný, ale přímo divácky nesnesitelný. Je složen výhradně z krátkých, trhaných, rozklepaných, neustále zoomujících, většinou černobílých a silně zrnitých záběrů. - Co tím chtěl básník říci? - Jestliže se maximální divácká náročnost - nepřicházající ani s potřebnou originalitou - stává sama o sobě cílem, ukazuje to pouze na autorskou bezradnost. Obávám se, že Jan Hus je ten případ: Vybičovaná otravnost umělecké formy (za určitých podmínek snad akceptovatelná) má zřejmě za účel pouze zastřít obsahovou bídu. Scénář se toporně snaží propojit nesouvisející scénky a postavy, dialogy tonou v trapných a laciných dialozích libujících si ve slovech jako sračka a řiťopich, poselství filmu je křečovité. Stejně křečovité jako bylo kdysi poselství Vávrova Jana Husa. Komické však je, že polopatický (tedy naopak silně divácky nenáročný) a patetický Vávrův opus představoval Husa v souladu s aktuální oficiální doktrínou Zdeňka Nejedlého coby středověkého komunistu, jehož odkaz konečně došel naplnění v polovině dvacátého století, Bambuškův Jan Hus je naopak patronem antikomunismu a západního intervencionalismu (pokud se chceme vyhnout slovu imperialismus), jak je ve filmu opakovaně (byť možná nepřímo) zdůrazňováno."
1,3,2," Dost neucelené, dost chaotické, ale zaujalo, jak svým tématem, tak i zpracováním (8mm syrovost). Na druhou stranu souhlasím s Exkvizitorem, že forma silně zakrývá bídný obsah."
0,1,1," ""komedie"" : veškerý pokus o vtip je trapný, nechutný nebo absolutně úchylný. Toma Greena jsem znal pouze z filmu Road trip, kde byl jako cvok s hlavním cílem nakrmit hada, asi i proto jsem do tohoto filmu šel. Zde scénáristou, režisérem i hlavní postavou. Nicméně po tomto filmu si začínám říkat, že s tímto člověkem musí být něco v nepořádku.
1* hlavně za to, že jsem chtěl vědět jak tenhle nesmysl skončí"
5,3,2, Magor uřvaný kokos který nenudil.
0,2,2," Vůbec mi není cizí jakýkoli nekonvenční humor, dokážu ocenit i ""sebedebilnější"" komedii, ale tohle je prostě nijaký. Vtipné scény by se daly spočítat na prstech jedné ruky a jediné plus tohohle filmu je opravdu ulítlý Tom Green. Jinak ale nuda, nuda, šeď, šeď. Film se celou dobu drží křečovitě svojí šablony, která ale už od prvních minut jaksi nefunguje. Ale zase že by se to nedalo vidět, to určitě ne, čili není důvod dávat méně než dvě hvězdy."
3,4,1," Pitomá ujetá komedie, která prostě funguje tak, že na chabý příběh o tom, jak se totální ocas Gordon snaží stát animátorem, je obložen hromadou skečů, mnohé úplně mimo děj, jen tak ""along the way"". Skeče jsou občas totálně ujeté, nechutné, stupidní, ztřeštěné a celé to má nějakou svou pokřivenou logiku. ""Freddy"" je takový ten špatný ujetý film, až je vlastně dobrý, a pokud přistoupíte na Tomovu hru, tak vás nakonec ty šílené dementnosti parádně pobaví."
0,4,4," Magořina, a to je na komediích to nejlepší. Ne žádná romantická slátanina, ale pořádná dávka demence. Nic pro ulíznutý slušňáčky."
0,4,4, Ty jsi chromá nebo jsi jen líná ?
0,3,3," BÉČKOVÉ OKÉNKO: Nejvic wtf film ever. Vsechny postavy se chovaj strasne naspeedovaně, umyslne debilne (pri rozhovoru Gordon napr vyskoci z okna atd.) Filmari se neboji niceho- a to ani zvířecí erekce! Jako komedie to na me uplne nefungovalo, zasmal jsem se tak třikrát. Ale je to skvelej filmovej experiment s neopakovatelnou atmosferou, kde jsou vsichni na fetu. Palec nahoru, 3/5*"
5,4,1," zkrátka tak debilní až je to dobrý .) dneska si dám repete. už jen souboj - pracovitej, cholerickej, šílenej tatík versus šílenej, neschopnej syn, jakoby z mého života vypadl .)"
0,3,3," Holly shit, co jsem to právě viděl? Větší zhovadilost jsem si asi ani nedokázal představit. Rozhodně musíte vidět!!!=D"
3,2,1," Veľmi rozporuplný film. Videné v minulosti očami teenagera, malo to kultový nábeh. Videné dnes očami rodiča, je tam viac trápností ako humoru. Film balansuje na hrane medzi hnusom a genialitou. Tom Green je magor... 45%"
0,5,5," Nejvíc se mi na téhle komedie líbi to, že její ultimátní humor si na nic nehraje, s ničím se nesere a má úplně u prdele všechny puritány, estéty a lidi bez smyslu pro humor. Buď se vám líbí nebo si naserte, jiné to už nebude. Tak úchylnou jízdu plnou nevybíravých nechuťáren, naprosto ujetých scén a zabijáckých gagů, u niž jsem se celou dobu řezal, jsem už dlouho neviděl. Děj je svižný a díky bezprostřednímu humoru parádně odsýpá. Vždy mě dostalo soupeření otec vs. syn."
0,4,4," Když si vezmu kdo všechno dokáže dostat cenu Václava Havla za kreativní disent, tak tohle je dílo hodné géniu lidstva... Normální lidé jsou jistě šokování, ale my vyjímeční prostě kvalitu poznáme :D :D"
0,5,5," Trapný, pobuřující, nevkusný a úchylný. Dal bych víc, ale nemůžu, nejde to."
5,5,0," Brilantní, na svou dobu dostatečně neoceněný Tom Green, jehož specifický a přehnaný humor doprovázený obscénnostmi si jistě najde svůj okruh fanoušků. Zkrátka komedie, u které si člověk nemusí lámat hlavu se složitým dějem, navíc ve spolupráci s herci Rip Torn a Eddie Kaye Thomas, film získává i určitou hereckou kvalitu."
0,0,0," Tímhle filmem se u mě Green dostal na čelní místo nenáviděných herců. Úlet jak prase, ale pěkně mimo, fuj tajksl. 5%."
4,4,0," až tak moc šíleně nechutné a bláznivé až mě to bavilo, 4/5 :)"
0,0,0," Jak mohl vůbec někdy kdo natočit takhle odporný film? To snad nikdy nepochopím. Je to naprosto nechutná a pokud jej někdo nazval komedií, tak je asi slepý. Kdo by se zasmál otevřené zlomenině, vykuchanému jelenovi, do kterého se hlavní herec oblékne a všemu ostatnímu."
0,0,0," Freddyho úlet je rozhodně víc než úlet!! Je to totální pí*ovina, u které nedokážu vůbec pochopit, že mohli vyprodukovat a v životě nechci vidět ani Toma Greena ani zmíňku o tomhle ""filmu""."
